job_id,job_title,company_name,location
3738093810,Business Intelligence (BI) Analyst,Robert Half,"Ansbach, Bavaria, Germany (On-site)"
3707596225,Senior Data Analyst (f/m/d),Clariness,"Berlin, Germany (On-site)"
3709660108,Data Analyst/Controller (m/f/d),Damovo Deutschland GmbH & Co. KG,"Düsseldorf, North Rhine-Westphalia, Germany (On-site)"
3645988393,Data Analyst SCM (m/w/d),matchING Engineering GmbH,"Frankfurt am Main, Hesse, Germany (On-site)"
3724799489,Data Analyst / Project Manager Mobility (m/w/d),PTV Group,"Karlsruhe, Baden-Württemberg, Germany (On-site)"
3742380008,BI-Consultant (m/w/d),AHAG Unternehmensberatung,"Münster, North Rhine-Westphalia, Germany (Hybrid)"
3676669671,Data Analyst*in in der Konzernrevision (in Voll- oder Teilzeit),Union Investment,"Frankfurt am Main, Hesse, Germany (On-site)"
3586237573,Business Intelligence / Data Analyst (m/w/d),Consultix GmbH,"Bremen, Bremen, Germany (On-site)"
3746613871,Senior Data Analyst - Power BI (m/f/d),KI performance GmbH,"Munich, Bavaria, Germany (On-site)"
3737378845,Data Analyst im Marketing-Bereich (m/w/d),Lloyds Bank GmbH,"Berlin, Berlin, Germany (On-site)"
3586240047,Analyst / Associate Data Capture (m/w/d),AssetMetrix GmbH,"Munich, Bavaria, Germany (On-site)"
3746011593,Business Intelligence Analyst (w/m/d),Horl 1993 GmbH,"Freiburg, Baden-Württemberg, Germany (On-site)"
3744161888,Business Intelligence Analyst (m/w/d),CG Elementum AG,Germany (On-site)
3729832886,Data Analyst E-Commerce (m/w/d),BRUNO BADER GMBH + CO. KG,"Pforzheim, Baden-Württemberg, Germany (Hybrid)"
3736909117,Data Analyst & SAP Key User (m/w/d) for AIRBUS (m/f/d),MID GmbH,"Bremen, Bremen, Germany (On-site)"
3740041954,BI Analyst (f/m/d),Lampenwelt GmbH,"Fulda, Hesse, Germany (On-site)"
3742602463,Modulbetreuer Predictive Maintenance - Data Analyst Condition Monitoring (w/m/d),SEW Eurodrive,"Graben-Neudorf, Baden-Württemberg, Germany (On-site)"
3746013994,Business Intelligent Specialist & Data Analyst (m/w/d),AfB gemeinnützige GmbH,Germany (On-site)
3596408326,Datenanalyst / Data Analyst*,GET AG,"Leipzig, Saxony, Germany (On-site)"
3740448709,Business Intelligent Specialist & Data Analyst (m/w/d),AfB social & green IT,"Ettlingen, Baden-Württemberg, Germany (On-site)"
3728500889,Senior Product Data Analyst (m/w/d),Picnic Technologies,"Düsseldorf, North Rhine-Westphalia, Germany (On-site)"
3746605710,Data Analyst,WeRoad,EMEA (Remote)
3719510217,Senior Data Analyst (m/w/d),areto consulting gmbh,"Cologne, North Rhine-Westphalia, Germany (On-site)"
3741352949,Senior Data Analyst - Supply Chain (m/f/d),aioneers,"Mannheim, Baden-Württemberg, Germany (On-site)"
3738139202,Senior Data Analyst (BI & Data Science) (m/w/d),DEVnet,"Grünwald, Bavaria, Germany (Hybrid)"
3648518195,(Marketing) Data Analyst (m/w/d),kemb GmbH,"Munich, Bavaria, Germany (On-site)"
3715191509,Business Intelligence Analyst (w/m/d),Robert Half,"Hannover, Lower Saxony, Germany (On-site)"
3714723416,Data Architect & Analyst (w/m/d),ZDF Studios,"Mainz, Rhineland-Palatinate, Germany (Hybrid)"
3741359194,Senior Business Intelligence Analyst (all genders),Parkdepot,"Munich, Bavaria, Germany (On-site)"
